Time,BPOS,DBTM,DMEA,HKLA,MFIA,RPMA,SPPA,TQA,TV01,TVT,WOBA
2023-07-28T05:06:30.0000000Z,29.93,4751.42,4752,174.89,110.22,0,709.44,0,33.63,106.44,0
2023-07-28T05:06:35.0000000Z,29.93,4751.42,4752,174.88,110.22,0,708.795,0,34.25,107.33,0
2023-07-28T05:06:40.0000000Z,29.93,4751.42,4752,174.86,110.22,0,712.02,0,33.02,105.84,0
2023-07-28T05:06:45.0000000Z,29.93,4751.42,4752,174.865,111.6,0,712.02,0,33.17,105.93,0
2023-07-28T05:06:50.0000000Z,29.93,4751.42,4752,174.87,112.98,0,712.02,0,34.15,106.88,0
2023-07-28T05:06:55.0000000Z,29.93,4751.42,4752,174.89,111.6,0,710.085,0,33.39,105.92,0
2023-07-28T05:07:00.0000000Z,29.93,4751.42,4752,174.92,110.22,0,709.44,0,33.56,106.38,0
2023-07-28T05:07:05.0000000Z,29.93,4751.42,4752,174.8533,110.22,0,709.01,0,33.8167,106.6167,0
2023-07-28T05:07:10.0000000Z,29.93,4751.42,4752,174.86,110.22,0,712.02,0,33.7,106.46,0
2023-07-28T05:07:15.0000000Z,29.93,4751.42,4752,174.8667,110.22,0,709.87,0,32.2133,105.0833,0
2023-07-28T05:07:20.0000000Z,29.93,4751.42,4752,174.87,110.22,0,708.15,0,33.6,106.51,0
2023-07-28T05:07:25.0000000Z,29.93,4751.42,4752,174.85,110.22,0,709.87,0,33.88,106.5967,0
2023-07-28T05:07:30.0000000Z,29.93,4751.42,4752,174.86,110.22,0,712.02,0,34.28,106.84,0
2023-07-28T05:07:35.0000000Z,29.93,4751.42,4752,174.8867,111.14,0,712.02,0,34.1667,106.59,0
2023-07-28T05:07:40.0000000Z,29.93,4751.42,4752,174.87,110.22,0,713.31,0,34.18,107.15,0
2023-07-28T05:07:45.0000000Z,29.93,4751.42,4752,174.8833,112.06,0,710.3,0,33.94,106.71,0
2023-07-28T05:07:50.0000000Z,29.93,4751.42,4752,174.86,110.22,0,709.44,0,32.78,105.65,0
2023-07-28T05:07:55.0000000Z,29.93,4751.42,4752,174.8767,112.98,0,709.01,0,33.84,106.48,0
2023-07-28T05:08:00.0000000Z,29.93,4751.42,4752,174.89,110.22,0,709.44,0,34.01,106.85,0
2023-07-28T05:08:05.0000000Z,29.93,4751.42,4752,174.84,111.14,0,709.87,0,33.2767,106.0467,0
