,Time,BDEP,Validity_1,Frequency_1,Consistency_1,Uniqueness_1,Accuracy_1,BHT,Validity_2,Frequency_2,Consistency_2,Uniqueness_2,Accuracy_2,CTOR,Validity_3,Frequency_3,Consistency_3,Uniqueness_3,DEPT,Validity_4,Frequency_4,Consistency_4,Uniqueness_4,RPM,Validity_5,Frequency_5,Consistency_5,Uniqueness_5,Completeness
68,2023-04-15T12:01:08.0000000-05:00,8115.95,True,True,True,True,False,23.59,True,True,True,True,False,5.724,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
69,2023-04-15T12:01:09.0000000-05:00,8116.08,True,True,True,True,False,23.51,True,True,True,True,False,5.942,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
70,2023-04-15T12:01:10.0000000-05:00,8116.14,True,True,True,True,False,23.43,True,True,True,True,False,5.649,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
71,2023-04-15T12:01:11.0000000-05:00,8116.21,True,True,True,True,False,23.32,True,True,True,True,False,5.69,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
72,2023-04-15T12:01:12.0000000-05:00,8116.27,True,True,True,True,False,23.27,True,True,True,True,False,5.935,True,True,True,True,8121.13,True,True,True,False,25.11,True,True,True,True,True
73,2023-04-15T12:01:13.0000000-05:00,8116.37,True,True,True,True,False,23.19,True,True,True,True,False,5.561,True,True,True,True,8121.13,True,True,True,False,25.13,True,True,True,True,True
74,2023-04-15T12:01:14.0000000-05:00,8116.47,True,True,True,True,False,23.11,True,True,True,True,False,5.5,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
75,2023-04-15T12:01:15.0000000-05:00,8116.54,True,True,True,True,False,23.0,True,True,True,True,False,5.717,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,False,True
76,2023-04-15T12:01:16.0000000-05:00,8116.63,True,True,True,True,False,22.92,True,True,True,True,False,5.615,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
77,2023-04-15T12:01:17.0000000-05:00,8116.7,True,True,True,True,False,22.86,True,True,True,True,False,5.602,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,False,True
78,2023-04-15T12:01:18.0000000-05:00,8116.83,True,True,True,True,False,22.78,True,True,True,True,False,5.54,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
79,2023-04-15T12:01:19.0000000-05:00,8116.86,True,True,True,True,False,22.67,True,True,True,True,False,5.908,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
80,2023-04-15T12:01:20.0000000-05:00,8116.96,True,True,True,True,False,22.59,True,True,True,True,False,5.663,True,True,True,True,8121.13,True,True,True,False,25.11,True,True,True,True,True
81,2023-04-15T12:01:21.0000000-05:00,8117.03,True,True,True,True,False,22.51,True,True,True,True,False,5.479,True,True,True,True,8121.13,True,True,True,False,25.11,True,True,True,False,True
82,2023-04-15T12:01:22.0000000-05:00,8117.13,True,True,True,True,False,22.43,True,True,True,True,False,5.527,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
83,2023-04-15T12:01:23.0000000-05:00,8117.22,True,True,True,True,False,22.35,True,True,True,True,False,5.602,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,False,True
84,2023-04-15T12:01:24.0000000-05:00,8117.29,True,True,True,True,False,22.24,True,True,True,True,False,5.901,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,False,True
85,2023-04-15T12:01:25.0000000-05:00,8117.39,True,True,True,True,False,22.16,True,True,True,True,False,5.513,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,False,True
86,2023-04-15T12:01:26.0000000-05:00,8117.49,True,True,True,True,False,22.05,True,True,True,True,False,5.88,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
87,2023-04-15T12:01:27.0000000-05:00,8117.59,True,True,True,True,False,21.97,True,True,True,True,False,5.88,True,True,True,False,8121.13,True,True,True,False,25.05,True,True,True,True,True
88,2023-04-15T12:01:28.0000000-05:00,8117.68,True,True,True,True,False,21.89,True,True,True,True,False,5.445,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
89,2023-04-15T12:01:29.0000000-05:00,8117.75,True,True,True,True,False,21.81,True,True,True,True,False,5.513,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
90,2023-04-15T12:01:30.0000000-05:00,8117.75,True,True,True,False,False,21.75,True,True,True,True,False,6.03,True,True,True,True,8121.13,True,True,True,False,24.99,True,True,True,True,True
91,2023-04-15T12:01:31.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.213,True,True,True,True,8121.13,True,True,True,False,25.07,True,True,True,True,True
92,2023-04-15T12:01:32.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.227,True,True,True,True,8121.13,True,True,True,False,25.11,True,True,True,True,True
93,2023-04-15T12:01:33.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.288,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
94,2023-04-15T12:01:34.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.356,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,True,True
95,2023-04-15T12:01:35.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.431,True,True,True,True,8121.13,True,True,True,False,25.03,True,True,True,False,True
96,2023-04-15T12:01:36.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.356,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,True,True
97,2023-04-15T12:01:37.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.465,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,False,True
98,2023-04-15T12:01:38.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.56,True,True,True,True,8121.13,True,True,True,False,25.05,True,True,True,False,True
99,2023-04-15T12:01:39.0000000-05:00,8117.75,True,True,True,False,True,21.75,True,True,True,False,True,6.424,True,True,True,True,8121.13,True,True,True,False,25.09,True,True,True,True,True
